"","left daughter","right daughter","split var","split point","status","prediction"
"3040",0,0,NA,0,-1,9
"3041",0,0,NA,0,-1,8.98648285739862
"3042",0,0,NA,0,-1,9
"3043",3598,3599,"stroke_cycle_mm",0,-3,9
"3044",0,0,NA,0,-1,9
"3045",0,0,NA,0,-1,8.98648285739862
"3046",0,0,NA,0,-1,8.98648285739862
"3047",3600,3601,"engine_hp",113,-3,8.99892524248429
"3048",3602,3603,"engine_hp",104,-3,8.9912138573091
"3049",0,0,NA,0,-1,9
"3050",3604,3605,"X",33015.5,-3,9
"3051",0,0,NA,0,-1,9
"3052",3606,3607,"city_fuel_per_100km_l",11.9967804768641,-3,9
"3053",0,0,NA,0,-1,9
"3054",0,0,NA,0,-1,9
"3055",3608,3609,"wheelbase_mm",4,-3,9
"3056",0,0,NA,0,-1,9
"3057",3610,3611,"city_fuel_per_100km_l",13.9467804768641,-3,9
"3058",3612,3613,"engine_hp",146,-3,9
"3059",3614,3615,"engine_hp",162.5,-3,9
"3060",3616,3617,"capacity_cm3",0,-3,9
"3061",0,0,NA,0,-1,9
"3062",0,0,NA,0,-1,9
"3063",3618,3619,"engine_hp",65,-3,9
"3064",3620,3621,"X",66173.5,-3,8.99688065939968
"3065",3622,3623,"stroke_cycle_mm",76,-3,9
"3066",3624,3625,"city_fuel_per_100km_l",7,-3,9
"3067",0,0,NA,0,-1,9
"3068",0,0,NA,0,-1,9
"3069",0,0,NA,0,-1,9
"3070",0,0,NA,0,-1,8.98648285739862
"3071",0,0,NA,0,-1,8.98648285739862
"3072",0,0,NA,0,-1,8.98648285739862
"3073",3626,3627,"fuel_tank_capacity_l",10.5319513377926,-3,8.98648285739862
"3074",0,0,NA,0,-1,9
"3075",0,0,NA,0,-1,9
"3076",3628,3629,"number_of_cylinders",0,-3,9
"3077",0,0,NA,0,-1,9
"3078",3630,3631,"cylinder_bore_mm",0,-3,9
"3079",3632,3633,"mixed_fuel_consumption_per_100_km_l",0,-3,9
"3080",0,0,NA,0,-1,8
"3081",0,0,NA,0,-1,8
"3082",3634,3635,"acceleration_0_100_km.h_s",11.95,-3,8.97790983521894
"3083",3636,3637,"mixed_fuel_consumption_per_100_km_l",9.14918203755123,-3,8.89473684210526
"3084",3638,3639,"X",46476,-3,8.99295260086595
"3085",3640,3641,"engine_hp",67.5,-3,8.99924904763326
"3086",3642,3643,"X",19288.5,-3,8.99941229814777
"3087",3644,3645,"width_mm",1.5,-3,8.9914948316216
"3088",3646,3647,"engine_hp",79.5,-3,8.99884923944817
"3089",3648,3649,"X",44587.5,-3,8.99211500014919
"3090",3650,3651,"engine_hp",57.5,-3,8.96176143917617
"3091",3652,3653,"engine_hp",146,-3,8.76666666666667
